phase,dayno,mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_suspic,mood_cheerf,mood_guilty,mood_doubt,mood_strong,pat_restl,pat_agitate,pat_worry,pat_concent,se_selflike,se_ashamed,se_selfdoub
1,226,5,-1,1,5,-1,-1,4,1,5,-1,1,5,1,1,1,5,5,1,1
1,227,4,0,3,3,0,0,3,1,4,0,1,4,1,2,1,4,5,1,2
1,227,4,0,2,3,0,0,4,1,4,0,2,4,2,1,1,3,4,1,1
1,227,4,0,1,4,0,0,4,1,4,1,1,4,1,1,1,4,4,1,1
1,227,4,0,2,4,0,0,4,1,4,1,2,3,2,1,1,4,4,1,3
1,227,5,0,1,4,0,0,3,1,3,1,2,3,1,1,1,3,4,1,2
1,228,5,0,1,3,0,0,3,1,4,0,3,4,1,1,1,4,4,1,2
1,228,3,1,1,3,0,0,3,1,3,0,4,3,1,1,1,4,4,2,2
1,228,3,0,3,3,0,0,3,1,3,0,3,4,1,3,1,4,4,1,3
1,228,3,0,2,4,0,-1,3,1,3,1,3,4,2,2,1,3,4,1,2
1,228,2,-1,4,2,0,0,3,2,3,1,2,3,1,3,1,4,4,1,3
1,228,4,0,3,3,0,0,3,1,3,0,2,3,2,3,1,4,4,1,1
1,228,4,0,2,4,0,0,3,1,4,0,2,3,3,2,1,4,4,1,2
1,228,3,-1,3,3,0,0,3,1,3,1,3,3,2,3,1,3,4,1,3
1,228,4,0,2,1,0,0,3,1,4,0,1,4,1,1,1,3,4,1,1
1,229,5,1,2,4,0,0,3,1,3,0,3,3,2,2,1,4,4,1,2
1,229,3,0,3,3,0,0,3,1,3,0,3,4,3,2,1,4,4,2,3
1,229,4,0,3,3,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,230,5,1,1,4,0,-1,3,1,3,-1,1,3,1,1,1,2,5,1,2
1,230,5,0,1,5,-1,-1,4,1,4,0,2,5,1,1,1,5,5,1,1
1,230,5,1,2,3,0,-1,3,1,3,0,2,4,2,2,1,4,4,1,2
1,230,3,0,3,3,-1,-1,3,1,4,-1,2,4,2,3,1,3,4,1,2
1,230,3,0,3,3,0,0,3,1,3,0,3,3,3,3,1,4,4,1,3
1,230,5,0,2,5,-1,-1,5,1,5,0,1,5,1,1,1,5,5,1,1
1,230,5,0,1,3,-1,-1,4,1,4,-1,2,4,2,2,1,3,4,1,2
1,230,5,0,1,4,0,0,4,1,4,0,1,4,1,1,1,4,4,1,2
1,230,5,0,1,5,-1,-1,5,1,5,-1,2,5,1,1,1,4,4,1,1
1,231,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,231,5,0,2,4,0,0,3,1,4,0,2,4,1,1,1,4,4,1,2
1,231,6,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,231,4,0,2,5,0,0,4,1,5,1,2,4,1,2,1,4,5,1,2
1,231,5,0,1,4,0,0,3,1,4,0,2,3,1,1,1,4,4,1,2
1,231,5,0,2,4,0,0,3,1,4,0,2,3,2,1,1,4,4,1,2
1,232,4,2,2,3,2,1,3,2,3,1,4,3,2,2,4,4,4,3,3
1,232,4,2,1,3,1,0,3,2,3,0,2,3,2,2,3,3,4,3,3
1,232,4,1,2,4,1,0,3,1,3,0,2,3,1,1,2,4,4,2,2
1,232,4,0,2,4,0,0,4,1,4,0,2,3,2,2,1,4,4,1,2
1,232,5,0,1,5,0,0,4,1,5,0,2,4,2,2,1,4,4,1,2
1,232,5,0,1,4,0,0,4,1,5,0,1,5,1,1,5,5,5,1,1
1,233,4,0,2,4,0,0,3,1,4,0,2,4,2,2,1,5,5,1,3
1,233,4,0,2,4,0,0,3,1,4,0,2,4,2,2,1,5,5,1,2
1,233,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,234,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,234,4,0,1,3,0,0,3,1,3,0,3,3,1,1,1,3,4,1,3
1,234,3,1,2,3,0,0,4,1,4,1,3,3,1,2,1,4,4,1,2
1,234,4,1,1,3,0,0,3,1,3,1,4,3,1,2,1,2,3,2,4
1,234,5,0,1,4,0,0,3,1,4,1,2,3,1,2,1,4,4,2,2
1,234,4,0,2,4,0,0,4,1,4,0,2,4,2,2,1,4,4,1,1
1,234,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,234,4,0,3,4,0,0,4,1,4,0,1,5,1,2,1,5,5,1,1
1,235,4,1,1,3,0,-1,3,1,3,0,2,3,1,1,1,4,4,1,3
1,235,4,0,1,4,0,0,4,1,4,0,3,4,1,1,1,4,4,1,2
1,235,4,0,2,4,0,0,4,1,4,0,2,4,2,2,1,4,4,1,2
1,235,3,0,3,4,0,0,4,1,4,0,2,4,2,3,1,4,4,1,3
1,235,4,0,3,5,0,0,4,1,5,0,2,5,2,2,1,5,5,1,1
1,235,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,235,5,1,2,3,0,0,4,1,3,0,2,4,2,2,1,4,4,1,2
1,235,5,0,1,5,-1,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,235,5,0,1,5,0,0,4,1,5,0,1,5,1,2,1,5,5,1,1
1,236,5,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,236,5,-1,1,5,0,0,5,1,5,0,2,5,1,1,1,5,5,1,1
1,236,5,0,2,4,0,0,3,1,4,0,3,4,2,2,1,3,4,1,3
1,236,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,236,4,0,2,3,0,0,4,1,4,1,3,3,3,3,1,4,4,1,3
1,236,4,0,2,4,0,0,3,1,3,0,2,4,2,1,1,4,4,1,2
1,236,4,1,2,3,1,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,237,4,1,1,3,0,1,3,1,3,0,3,3,2,2,1,3,4,1,3
1,237,4,1,3,3,0,0,3,1,3,1,3,3,1,2,3,3,4,2,3
1,237,4,0,2,4,0,0,3,1,4,0,2,4,2,2,1,4,4,1,3
1,237,3,1,3,3,0,0,3,1,3,1,3,3,2,3,2,4,4,1,2
1,237,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,238,5,-1,1,6,-1,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,238,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
